id,title,type,genre,tags,description,link,releaseDate,thumbnail,trailer,price,averageRating,totalRatings
db184ea4-bbfb-44c2-b398-80cb53e3ce22,The Tree of Life,Survival Spawn World,Roleplaying Game,Fantasy; Mountain; Village; Tropical; Treasure; Temple; Island; Boat,"In the heart of the largest forest on Earth, something special grows that few get to see. It goes by many names, but we know it as the Tree of Life! Stop by the village, visit the palace, and reign sovereign! Or will you make your home among the vast branches of the Tree itself?$$$$- Giant tree to explore$$- Custom terrain$$- Play alone or with your friends$$- Achievement ready",https://www.minecraft.net/en-us/pdp/?id=db184ea4-bbfb-44c2-b398-80cb53e3ce22,2021-11-30T18:00:00Z,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/ec127619-16bb-476a-93d5-d129af977de0/TToL_thumbnail_0.jpg,,490,4.3,18
db1d9ae7-4c22-4c28-8cf9-41649d537912,Jail Break,Skinpack,Roleplaying Game,Prison; Escape; Teens; Cool; Epic; Friends; Cop; Crime,JAIL BREAK! What’s life like when you’re locked up behind bars? Find out when you roleplay with friends as jailbirds with these skins! $$$$+ These skins are really perfect for jailbreak roleplay! $$+ Will you be a cop or a robber?,https://www.minecraft.net/en-us/pdp/?id=db1d9ae7-4c22-4c28-8cf9-41649d537912,2024-02-27T18:00:00Z,https://xforgeassets001.xboxlive.com/pf-namespace-b63a0803d3653643/73f1eeed-be2a-44f9-90ba-a1d2a07328a4/JailBreak_Thumbnail_0.jpg,,310,4.4,321
db2ab6f4-ea1e-4fc1-9871-d2e6ac5c7977,Eltz Castle,Survival Spawn World,Roleplay,Exploration; Historical; Medieval; Realistic; Castles; Multiplayer; Single Player; Royal,"Explore the vast interiors of this amazing Eltz Castle, where only members of the royal family were once allowed to roam these halls. Play survival as you discover the epic Eltz Castle replica that was expertly crafted by a single man named Ausman.$$$$+ Nether update support!$$+ Achievements are enabled!$$+ Based on the real-life Eltz Castle!$$+ Works for single & multiplayer!",https://www.minecraft.net/en-us/pdp/?id=db2ab6f4-ea1e-4fc1-9871-d2e6ac5c7977,2020-09-22T10:00:00-07:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/f23d7f5a-6f7d-4774-b55f-8bbebcdc3930/eltzcastle_thumbnail_0.jpg,,310,4.6,10
db2e5844-e736-4f76-b4d6-38bf6f441826,Frozen Falls,Survival Spawn World,Roleplay,Multiplayer; Skin; Colorful; Holiday; Scarf; Role Playing; Seasonal; Teen,"A magical winter wonderland to explore with friends! Throw snowballs, go ice-skating, and frolic around in this winter roleplay map!$$$$-Five skins!$$-Custom terrain filled with cozy cabins!$$-Plenty of areas to explore!",https://www.minecraft.net/en-us/pdp/?id=db2e5844-e736-4f76-b4d6-38bf6f441826,2020-04-28T10:00:00-07:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-ee7b/6faeb2af-65dc-4e2a-916b-9942dc67c9c8/FrozenFalls_thumbnail_0.jpg,https://www.youtube.com/watch?v=TSd0hb14AG0,310,4.5,29
dc7afc74-65b9-453d-9e95-59f230295cc1,Ducky HD,Skinpack,Roleplaying Game,Yellow; Hd; Animals; Cute; Funny; Teen; Teens,Do you love ducks? Of course you do! Allow us to splash you with a collection of cute rubber ducky themed fashion! Great for water foul lovers and roleplay with friends! $$- 10 ducky-themed skins! $$- Quack!,https://www.minecraft.net/en-us/pdp/?id=dc7afc74-65b9-453d-9e95-59f230295cc1,2023-10-17T17:00:00Z,https://xforgeassets002.xboxlive.com/pf-namespace-b63a0803d3653643/0162e1b8-be6a-4324-95f2-613a5003967a/DuckyHD_thumbnail_0.jpg,,310,4.7,32
dc993f42-bad0-4333-8350-f07afc9ca1e7,Fantasy Spawns: Frozen Castle,Survival Spawn World,Fantasy,Cool; Dragons; Epic; Fantasy; Role Playing; Pets; Survival; Multiplayer,"Ride ice dragons, defend your castle and roleplay as a fearsome frost dragon rider. Explore an ancient tower dungeon and make Frozen Castle your permanent home!$$$$- Ridable frost dragon pet! $$- Comes with animations and sounds! $$- Custom villager NPCs & trades!$$- Roleplay with 3 FREE realistic HD skins! $$- Multiplayer friendly survival spawn!",https://www.minecraft.net/en-us/pdp/?id=dc993f42-bad0-4333-8350-f07afc9ca1e7,2020-03-17T17:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-ee7b/acc7a3bc-b641-491e-b9b1-468626ad1115/fantasyspawnsfrozencastle_thumbnail_0.jpg,,490,3.8,253
dcca9c92-c1d4-4fce-be80-ca2a6aabe0c1,Anime Virtual Reality,Skinpack,Roleplay,Anime; Science Fiction; Assassin; Gaming; Costume; Futuristic; Cyberpunk; Fantasy,"Hop into the virtual reality world and pick your anime character!$$+8 unique skins to choose from!$$+1 FREE skin included!$$+Includes VR warrior, runner, ranger, and much more to choose from!",https://www.minecraft.net/en-us/pdp/?id=dcca9c92-c1d4-4fce-be80-ca2a6aabe0c1,2020-08-18T10:00:00-07:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/7b41e647-deed-4d06-9bcb-cd67e61d4519/AnimeVR_thumbnail_0.jpg,,490,4.6,35
dcd9434d-d340-43af-97f6-2c38f88f6f42,Quest for Addlecliff,Adventure World,Fantasy,Action; Adventure; Fantasy; Survival; Role Playing; Open World,"Once, the town of Addlecliff was prosperous and peaceful. But now the mines have closed and the strange noises coming from the castle off the coast are worrying to say the least... Addlecliff needs a hero like you to restore it!$$$$- Conquer abandoned mines, dusty castles and forgotten tombs.$$- Fight the evil brother trapped in the castle to save and unlock the world.$$$$",https://www.minecraft.net/en-us/pdp/?id=dcd9434d-d340-43af-97f6-2c38f88f6f42,2020-07-14T10:00:00-07:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/5fc6d42b-4c44-4d78-aa86-ef4d5c451cb8/QFA_thumbnail_0.jpg,,830,4.5,110
dcff7e85-0166-45aa-94ab-9682e47a23e6,Giant Axolotl,Survival Spawn World,Survival,Big; Mobs; Animal; Giant; Secret; Base; Secret Base; Derp,A Giant Axolotl has been discovered within Minecraft! Enjoy a unique survival experience adventuring inside the vibrant biome of a pink Giant Axolotl!$$Enter an atmospheric environment with a variety of axolotl species and secrets to discover! $$$$+ Giant axolotl world!$$+ Secret rooms to find!$$+ Hidden chests with loot!$$+ Unique and mysterious survival experience!,https://www.minecraft.net/en-us/pdp/?id=dcff7e85-0166-45aa-94ab-9682e47a23e6,2021-10-26T17:00:00+00:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/cc7d4a5b-d78a-4dd1-bc94-6248036c4c2c/giantaxolotl_thumbnail_0.jpg,,310,4.4,36
dd0dcd0d-7d3e-4714-b336-bf42c51dfdb4,Bezma,Survival Spawn World,Roleplay,Fantasy; Roleplay; Temple; Treasure; Action; Adventure; City; Survival,"After walking for days you finally find Bezma, the lost city of the endless desert. For a century the city has been left untouched and its inhabitants have been forgotten. Can you restore the city to its former glory?$$$$- Roleplay as king or queen of this great empire.$$- Find all the hidden loot around the city.$$- Explore the pyramids and what they hide.",https://www.minecraft.net/en-us/pdp/?id=dd0dcd0d-7d3e-4714-b336-bf42c51dfdb4,2021-11-02T17:00:00+00:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/29bb5707-f17c-4b23-b630-c1e52e3f60c7/Bezma_thumbnail_0.jpg,https://www.youtube.com/watch?v=MJgpuwHEbgI,490,4.8,4
